,company,industry,sector,year,url,filename
0,Brookfield Property Partners LP,Real Estate Development,Financial,2019.0,https://www.brookfield.com/sites/default/files/2020-09/Brookfield%20ESG%20Report%202019_0.pdf,BrookfieldPropertyPartnersLP-2019.pdf
1,PrairieSky Royalty Ltd,Real Estate Development,Financial,2017.0,https://www.prairiesky.com/wp-content/uploads/1.1-PrairieSky-Royalty-Ltd.-Responsibility-Report-2017.pdf,PrairieSkyRoyaltyLtd-2017.pdf
2,PrairieSky Royalty Ltd,Real Estate Development,Financial,2018.0,https://www.prairiesky.com/wp-content/uploads/1.2-PrairieSky_Royalty_Responsibility_Report_2018.pdf,PrairieSkyRoyaltyLtd-2018.pdf
3,PrairieSky Royalty Ltd,Real Estate Development,Financial,2019.0,https://www.prairiesky.com/wp-content/uploads/PrairieSky-Royalty-2019-Responsibility-Report_WEB.pdf,PrairieSkyRoyaltyLtd-2019.pdf
4,Summit Hotel Properties Inc.,Real Estate Development,Financial,2018.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_INN_2018.pdf,SummitHotelPropertiesInc.-2018.pdf
5,The RMR Group ,Real Estate Development,Financial,2019.0,https://s21.q4cdn.com/317921054/files/doc_downloads/2020/10/RMR-2019-SUSTAINABILITY-REPORT-DIGITAL.pdf,TheRMRGroup-2019.pdf
6,Armada Hoffler Properties Inc,REIT - Diversified,Financial,2019.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_AHH_2019.pdf,ArmadaHofflerPropertiesInc-2019.pdf
7,Charter Hall Group,REIT - Diversified,Financial,2018.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/C/ASX_CHC_2018.pdf,CharterHallGroup-2018.pdf
8,Charter Hall Group,REIT - Diversified,Financial,2019.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/ASX_CHC_2019.pdf,CharterHallGroup-2019.pdf
9,Derwent London plc,REIT - Diversified,Financial,2014.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/d/LSE_DLN_2014.pdf,DerwentLondonplc-2014.pdf
10,Derwent London plc,REIT - Diversified,Financial,2015.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/d/LSE_DLN_2015.pdf,DerwentLondonplc-2015.pdf
11,Derwent London plc,REIT - Diversified,Financial,2016.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/d/LSE_DLN_2016.pdf,DerwentLondonplc-2016.pdf
12,Derwent London plc,REIT - Diversified,Financial,2017.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/d/LSE_DLN_2017.pdf,DerwentLondonplc-2017.pdf
13,Derwent London plc,REIT - Diversified,Financial,2018.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/d/LSE_DLN_2018.pdf,DerwentLondonplc-2018.pdf
14,Derwent London plc,REIT - Diversified,Financial,2019.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/LSE_DLN_2019.pdf,DerwentLondonplc-2019.pdf
15,Douglas Emmett Inc.,REIT - Diversified,Financial,2019.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_DEI_2019.pdf,DouglasEmmettInc.-2019.pdf
16,Duke Realty Corporation,REIT - Diversified,Financial,2015.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/d/NYSE_DRE_2015.pdf,DukeRealtyCorporation-2015.pdf
17,Duke Realty Corporation,REIT - Diversified,Financial,2016.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/d/NYSE_DRE_2016.pdf,DukeRealtyCorporation-2016.pdf
18,Duke Realty Corporation,REIT - Diversified,Financial,2017.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/d/NYSE_DRE_2017.pdf,DukeRealtyCorporation-2017.pdf
19,Duke Realty Corporation,REIT - Diversified,Financial,2018.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_DRE_2018.pdf,DukeRealtyCorporation-2018.pdf
20,Hammerson plc,REIT - Diversified,Financial,2008.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/h/LSE_HMSO_2008.pdf,Hammersonplc-2008.pdf
21,Hammerson plc,REIT - Diversified,Financial,2009.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/h/LSE_HMSO_2009.pdf,Hammersonplc-2009.pdf
22,Hammerson plc,REIT - Diversified,Financial,2010.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/h/LSE_HMSO_2010.pdf,Hammersonplc-2010.pdf
23,Hammerson plc,REIT - Diversified,Financial,2011.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/h/LSE_HMSO_2011.pdf,Hammersonplc-2011.pdf
24,Hammerson plc,REIT - Diversified,Financial,2013.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/h/LSE_HMSO_2013.pdf,Hammersonplc-2013.pdf
25,Hammerson plc,REIT - Diversified,Financial,2014.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/h/LSE_HMSO_2014.pdf,Hammersonplc-2014.pdf
26,Hammerson plc,REIT - Diversified,Financial,2015.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/h/LSE_HMSO_2015.pdf,Hammersonplc-2015.pdf
27,Hammerson plc,REIT - Diversified,Financial,2016.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/h/LSE_HMSO_2016.pdf,Hammersonplc-2016.pdf
28,Hammerson plc,REIT - Diversified,Financial,2017.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/h/LSE_HMSO_2017.pdf,Hammersonplc-2017.pdf
29,Hammerson plc,REIT - Diversified,Financial,2018.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/h/LSE_HMSO_2018.pdf,Hammersonplc-2018.pdf
30,Hammerson plc,REIT - Diversified,Financial,2019.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/LSE_HMSO_2019.pdf,Hammersonplc-2019.pdf
31,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",REIT - Diversified,Financial,2018.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/h/NYSE_HASI_2018.pdf,"HannonArmstrongSustainableInfrastructureCapital,Inc.-2018.pdf"
32,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",REIT - Diversified,Financial,2019.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_HASI_2019.pdf,"HannonArmstrongSustainableInfrastructureCapital,Inc.-2019.pdf"
33,Land Securities Group plc,REIT - Diversified,Financial,2015.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/l/LSE_LAND_2015.pdf,LandSecuritiesGroupplc-2015.pdf
34,Land Securities Group plc,REIT - Diversified,Financial,2016.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/l/LSE_LAND_2016.pdf,LandSecuritiesGroupplc-2016.pdf
35,Land Securities Group plc,REIT - Diversified,Financial,2017.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/l/LSE_LAND_2017.pdf,LandSecuritiesGroupplc-2017.pdf
36,Land Securities Group plc,REIT - Diversified,Financial,2019.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/l/LSE_LAND_2019.pdf,LandSecuritiesGroupplc-2019.pdf
37,Land Securities Group plc,REIT - Diversified,Financial,2020.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/LSE_LAND_2020.pdf,LandSecuritiesGroupplc-2020.pdf
38,Morguard Real Estate Investment Trust,REIT - Diversified,Services,2018.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/TSX_MRT.UN_2018.pdf,MorguardRealEstateInvestmentTrust-2018.pdf
39,PennyMac Mortgage Investment Trust,REIT - Diversified,Financial,2019.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_PMT_2019.pdf,PennyMacMortgageInvestmentTrust-2019.pdf
40,Vornado Realty Trust,REIT - Diversified,Financial,2017.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/v/NYSE_VNO_2017.pdf,VornadoRealtyTrust-2017.pdf
41,Vornado Realty Trust,REIT - Diversified,Financial,2019.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_VNO_2019.pdf,VornadoRealtyTrust-2019.pdf
42,Healthcare Realty Trust Inc.,REIT - Healthcare Facilities,Financial,2019.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_HR_2019.pdf,HealthcareRealtyTrustInc.-2019.pdf
43,Healthcare Trust of America inc,REIT - Healthcare Facilities,Financial,2019.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_HTA_2019.pdf,HealthcareTrustofAmericainc-2019.pdf
44,Healthpeak Properties Inc.,REIT - Healthcare Facilities,Financial,2018.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/h/NYSE_PEAK_2018.pdf,HealthpeakPropertiesInc.-2018.pdf
45,Healthpeak Properties Inc.,REIT - Healthcare Facilities,Financial,2019.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_PEAK_2019.pdf,HealthpeakPropertiesInc.-2019.pdf
46,Ventas Inc.,REIT - Healthcare Facilities,Financial,2018.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/v/NYSE_VTR_2018.pdf,VentasInc.-2018.pdf
47,Ventas Inc.,REIT - Healthcare Facilities,Financial,2019.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_VTR_2019.pdf,VentasInc.-2019.pdf
48,Welltower Inc,REIT - Healthcare Facilities,Financial,2018.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_WELL_2018.pdf,WelltowerInc-2018.pdf
49,Host Hotels & Resorts Inc.,REIT - Hotel/Motel,Financial,2019.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_HST_2019.pdf,HostHotels&ResortsInc.-2019.pdf
50,Park Hotels & Resorts Inc.,REIT - Hotel/Motel,Financial,2018.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/p/NYSE_PK_2018.pdf,ParkHotels&ResortsInc.-2018.pdf
51,Park Hotels & Resorts Inc.,REIT - Hotel/Motel,Financial,2019.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_PK_2019.pdf,ParkHotels&ResortsInc.-2019.pdf
52,Ryman Hospitality Properties,REIT - Hotel/Motel,Financial,2019.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_RHP_2019.pdf,RymanHospitalityProperties-2019.pdf
53,Xenia Hotels & Resorts Inc,REIT - Hotel/Motel,Financial,2019.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_XHR_2019.pdf,XeniaHotels&ResortsInc-2019.pdf
54,"Alexandria Real Estate Equities, Inc.",REIT - Industrial,Financial,2018.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ARE_2018.pdf,"AlexandriaRealEstateEquities,Inc.-2018.pdf"
55,"Alexandria Real Estate Equities, Inc.",REIT - Industrial,Financial,2019.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_ARE_2019.pdf,"AlexandriaRealEstateEquities,Inc.-2019.pdf"
56,Big Yellow Group,REIT - Industrial,Financial,2007.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/b/LSE_BYG_2007.pdf,BigYellowGroup-2007.pdf
57,Big Yellow Group,REIT - Industrial,Financial,2008.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/b/LSE_BYG_2008.pdf,BigYellowGroup-2008.pdf
58,Big Yellow Group,REIT - Industrial,Financial,2009.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/b/LSE_BYG_2009.pdf,BigYellowGroup-2009.pdf
59,Big Yellow Group,REIT - Industrial,Financial,2010.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/b/LSE_BYG_2010.pdf,BigYellowGroup-2010.pdf
60,Big Yellow Group,REIT - Industrial,Financial,2011.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/b/LSE_BYG_2011.pdf,BigYellowGroup-2011.pdf
61,Big Yellow Group,REIT - Industrial,Financial,2012.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/b/LSE_BYG_2012.pdf,BigYellowGroup-2012.pdf
62,Big Yellow Group,REIT - Industrial,Financial,2013.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/b/LSE_BYG_2013.pdf,BigYellowGroup-2013.pdf
63,Big Yellow Group,REIT - Industrial,Financial,2014.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/b/LSE_BYG_2014.pdf,BigYellowGroup-2014.pdf
64,Big Yellow Group,REIT - Industrial,Financial,2015.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/b/LSE_BYG_2015.pdf,BigYellowGroup-2015.pdf
65,Big Yellow Group,REIT - Industrial,Financial,2016.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/b/LSE_BYG_2016.pdf,BigYellowGroup-2016.pdf
66,Big Yellow Group,REIT - Industrial,Financial,2017.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/b/LSE_BYG_2017.pdf,BigYellowGroup-2017.pdf
67,Big Yellow Group,REIT - Industrial,Financial,2018.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/b/LSE_BYG_2018.pdf,BigYellowGroup-2018.pdf
68,Big Yellow Group,REIT - Industrial,Financial,2019.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/LSE_BYG_2019.pdf,BigYellowGroup-2019.pdf
69,Digital Realty Trust Inc.,REIT - Industrial,Financial,2018.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/d/NYSE_DLR_2018.pdf,DigitalRealtyTrustInc.-2018.pdf
70,Digital Realty Trust Inc.,REIT - Industrial,Financial,2019.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_DLR_2019.pdf,DigitalRealtyTrustInc.-2019.pdf
71,EastGroup Properties,REIT - Industrial,Financial,2019.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_EGP_2019.pdf,EastGroupProperties-2019.pdf
72,Extra Space Storage Inc.,REIT - Industrial,Financial,2019.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_EXR_2019.pdf,ExtraSpaceStorageInc.-2019.pdf
73,First Industrial Realty Trust Inc.,REIT - Industrial,Financial,2019.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_FR_2019.pdf,FirstIndustrialRealtyTrustInc.-2019.pdf
74,Prologis,REIT - Industrial,Financial,2006.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/p/NYSE_PLD_2006.pdf,Prologis-2006.pdf
75,Prologis,REIT - Industrial,Financial,2007.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/p/NYSE_PLD_2007.pdf,Prologis-2007.pdf
76,Prologis,REIT - Industrial,Financial,2008.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/p/NYSE_PLD_2008.pdf,Prologis-2008.pdf
77,Prologis,REIT - Industrial,Financial,2009.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/p/NYSE_PLD_2009.pdf,Prologis-2009.pdf
78,Prologis,REIT - Industrial,Financial,2010.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/p/NYSE_PLD_2010.pdf,Prologis-2010.pdf
79,Prologis,REIT - Industrial,Financial,2011.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/p/NYSE_PLD_2011.pdf,Prologis-2011.pdf
80,Prologis,REIT - Industrial,Financial,2012.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/p/NYSE_PLD_2012.pdf,Prologis-2012.pdf
81,Prologis,REIT - Industrial,Financial,2013.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/p/NYSE_PLD_2013.pdf,Prologis-2013.pdf
82,Prologis,REIT - Industrial,Financial,2014.0,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/p/NYSE_PLD_2014.pdf,Prologis-2014.pdf
